company_id,year,return_on_equity_pct,return_on_capital_employed_pct,net_profit_margin_pct,operating_profit_margin_pct,debt_to_equity,interest_coverage,asset_turnover,sales,net_profit,eps,dividend_payout,net_cash_flow,market_cap_crore,pe_ratio,pb_ratio,dividend_yield_pct,broad_sector,peer_group_name,composite_quality_score
SHRIRAMFIN,2018.0,18.619430241051862,0.0,18.878684639312695,28.181010220708043,5.999342585829072,0.6135122484006865,0.1386811832374692,13502.0,2549.0,20.0,10.0,-42.0,,,,,Financials,Consumer Finance,0
CHOLAFIN,2023.0,18.576606719643106,0.0,20.684570009313877,28.104625892579943,6.786421302105117,16.581818181818182,0.113388543215961,12884.0,2665.0,32.0,6.0,-1787.0,945798.69,38.56,12.71,4.49,Financials,Consumer Finance,0
POWERGRID,2023.0,18.57249536289837,0.0,33.81356489704624,86.78376422603776,1.5487196781731023,4.22140336308906,0.1808028545941124,45603.0,15420.0,17.0,67.0,2615.0,300792.57,31.09,12.44,3.26,Energy,Power & Utilities,0
ATGL,2023.0,18.56511390683441,0.0,12.47144814984011,19.872087711283694,0.48350901054063244,11.846153846153847,0.7755535872453498,4378.0,546.0,5.0,5.0,,1644865.15,28.01,4.26,2.71,Energy,,0
M&M,2024.0,18.537543435564285,0.0,8.82238743726542,17.89787025985418,1.6414413053331318,3.7646901709401708,0.5925222177725139,139078.0,12270.0,91.0,21.0,1037.0,4173085.48,14.22,0.81,2.37,Consumer Discretionary,Automobiles,0
PFC,2015.0,18.52457498997254,0.0,24.027533215943652,33.73219145189691,5.794174817191694,0.546972049689441,0.10915985182078702,24988.0,6004.0,18.0,20.0,4970.0,,,,,Financials,,0
MARUTI,2018.0,18.517822317253696,0.0,9.874826147426981,15.183751206004336,0.002843111915223572,41.2514450867052,1.32467467799761,79809.0,7881.0,261.0,31.0,50.0,,,,,Consumer Discretionary,Automobiles,0
DABUR,2024.0,18.355969997972835,0.0,14.600128990648178,19.348597226701063,0.13835394283397526,23.241935483870968,0.8205874569992061,12404.0,1811.0,10.0,53.0,-119.0,56521.84,50.95,13.59,3.42,Consumer Staples,FMCG,0
EICHERMOT,2020.0,18.30477908025248,0.0,19.958488092637097,23.847498361372075,0.024947400060114217,145.0,0.7352610441767068,9154.0,1827.0,67.0,19.0,-673.0,179834.03,18.91,9.77,0.44,Consumer Discretionary,Automobiles,0
CHOLAFIN,2022.0,18.302319653326535,0.0,21.225857311785575,28.83326763894363,5.87764465969921,35.17857142857143,0.12303887097165304,10148.0,2154.0,26.0,8.0,1218.0,1050124.13,53.32,1.23,3.83,Financials,Consumer Finance,0
ZYDUSLIFE,2019.0,18.284228769497403,0.0,14.42351511468935,22.717605954731884,0.7605430387059503,16.36082474226804,0.5667427144763463,13166.0,1899.0,18.0,19.0,-811.0,,,,,,,0
GODREJCP,2021.0,18.23286365081047,0.0,15.604315894460061,21.751745398494876,0.1974785464561924,17.55072463768116,0.7742909295141814,11029.0,1721.0,17.0,0.0,-79.0,1140203.87,19.23,4.8,1.47,Consumer Staples,FMCG,0
BOSCHLTD,2015.0,18.211514904042467,0.0,11.070660268078768,16.390865464173423,0.015108207431604737,179.85714285714286,1.1586616815262198,12086.0,1338.0,426.0,20.0,-24.0,,,,,Consumer Discretionary,,0
HINDUNILVR,2022.0,18.12437577709382,0.0,16.954581855622926,75.48526103039318,0.02125924869040582,180.88584474885846,0.7438515870989703,52446.0,8892.0,38.0,90.0,-695.0,435060.89,20.69,4.16,1.4,Consumer Staples,FMCG,0
